Cadet_ID,Detachment,Det State,School,LastName,FirstName,MI,SSN
5762383,674,Georgia,Texas A&M University,MILLER,JAMES,T,881988783
1122383,568,Pennsylvania,University of Iowa,SMITH,KAREN,Y,192094516
3207648,599,Hawaii,University of Maryland,GARCIA,SUSAN,S,346230047
2679634,617,Texas,University of Alaska,WILLIAMS,SUSAN,Y,273396043
7677177,806,South Dakota,Dartmouth College,THOMAS,MICHAEL,P,730472864
4227908,397,Connecticut,Mississippi State University,GONZALEZ,MARY,D,595078060
6559032,780,Indiana,University of Wyoming,RODRIGUEZ,JOHN,E,137209603
1368880,714,Virginia,University of New Mexico,SMITH,SUSAN,X,343077850
0838829,300,South Dakota,Columbia University,TAYLOR,JOSEPH,G,081739999
4961020,247,Nebraska,Carnegie Mellon University,MOORE,ROBERT,R,505371622
9647756,570,New Hampshire,University of Kansas,THOMAS,MICHAEL,A,573947403
6624664,319,Montana,Oklahoma State University,WILLIAMS,JOSEPH,A,385967481
9392046,288,Alaska,University of Mississippi,LOPEZ,SARAH,S,697855989
7647508,603,New Mexico,University of Wisconsin-Madison,THOMAS,THOMAS,B,819415554
3132826,828,Wyoming,University of Maine,GARCIA,BARBARA,W,869823540
4577079,864,Utah,New York University,JACKSON,ELIZABETH,Y,207809020
8654668,905,Indiana,University of Arizona,JACKSON,RICHARD,L,837903749
7905766,855,Michigan,University of Florida,MILLER,BARBARA,F,777908607
2348230,126,Maine,University of Wyoming,TAYLOR,ELIZABETH,O,400056113
7482950,355,Tennessee,Indiana University,JACKSON,SARAH,X,330974247
0376303,889,California,Arizona State University,LOPEZ,JESSICA,Y,081815161
3624856,229,Mississippi,University of Utah,HERNANDEZ,JENNIFER,A,116614078
5957154,452,Michigan,Montana State University,MOORE,MARY,E,132893980
1958717,526,Oklahoma,Pennsylvania State University,SMITH,JOHN,B,047063740
0867722,034,Hawaii,Clemson University,SMITH,JOSEPH,O,510199590
3526035,575,North Carolina,Rutgers University,JOHNSON,DAVID,H,827054788
0291845,110,Wisconsin,Boise State University,JONES,ROBERT,X,921853502
2110831,479,Montana,Rutgers University,BROWN,THOMAS,V,496455664
3126349,825,New York,Cornell University,DAVIS,MICHAEL,M,993626241
3722666,668,New Mexico,Texas A&M University,DAVIS,DAVID,R,945642029
3464355,773,Nebraska,University of South Carolina,MARTIN,JOSEPH,K,260965742
9635661,642,Massachusetts,"University of California, Berkeley",JACKSON,ELIZABETH,A,211617537
4902215,600,Kansas,"University of California, Berkeley",JONES,RICHARD,F,326661699
3170642,783,Maryland,Carnegie Mellon University,WILLIAMS,WILLIAM,H,446795620
5443051,465,Vermont,University of Florida,LOPEZ,MARY,U,747020602
4174031,936,Arkansas,University of Oklahoma,LOPEZ,JOHN,C,085035303
7710412,305,Alaska,University of Missouri,DAVIS,DAVID,R,802601546
6694017,834,Arkansas,Harvard University,JOHNSON,RICHARD,C,622801626
0808543,519,New Mexico,South Dakota State University,MARTIN,JENNIFER,J,333228889
5364426,685,Vermont,South Dakota State University,SMITH,JOSEPH,A,655010545
2774628,172,New Mexico,Cornell University,GONZALEZ,BARBARA,M,400527363
3882704,142,Wisconsin,University of Alabama,JOHNSON,KAREN,E,067934739
8952627,056,West Virginia,University of New Mexico,ANDERSON,MARY,U,520189203
4896113,481,Idaho,West Virginia University,WILSON,BARBARA,M,090118600
8368691,550,Utah,Ohio State University,HERNANDEZ,CHARLES,X,974384297
1991466,659,Colorado,Oklahoma State University,ANDERSON,MARY,X,442749558
2951501,306,Maine,Virginia Tech,HERNANDEZ,KAREN,Y,924670084
9956239,355,California,Purdue University,WILSON,ROBERT,Z,624429481
9725779,858,Nevada,Johns Hopkins University,MARTINEZ,JOHN,O,194432677
4795198,625,North Dakota,Arizona State University,DAVIS,SARAH,G,798131715
5581697,237,Wisconsin,"University of California, Berkeley",HERNANDEZ,JAMES,B,014683175
5993669,605,Michigan,Iowa State University,THOMAS,SARAH,V,838128003
3615657,110,Idaho,Dartmouth College,MARTINEZ,ROBERT,Z,237160168
8365386,443,Iowa,University of North Carolina at Chapel Hill,ANDERSON,MICHAEL,M,972675828
2717740,896,Virginia,Brown University,RODRIGUEZ,MARY,V,461706764
7601849,673,Minnesota,Harvard University,GARCIA,MICHAEL,R,099925461
8020706,545,New Mexico,Georgia Institute of Technology,JACKSON,JAMES,H,166657152
3460043,076,Oregon,University of Idaho,MILLER,BARBARA,F,759753998
4818714,407,Nebraska,North Dakota State University,MARTIN,SARAH,E,879855769
1426371,621,Tennessee,University of Kansas,WILLIAMS,JAMES,L,458412847
5951295,024,North Dakota,University of Southern California,BROWN,JESSICA,W,802215862
2983506,536,Nevada,Oklahoma State University,THOMAS,JOHN,O,118451665
1973599,149,South Dakota,University of Mississippi,GONZALEZ,LINDA,X,868356188
4558403,614,Delaware,Colorado State University,SMITH,ELIZABETH,W,712981818
3529609,074,Virginia,Harvard University,HERNANDEZ,JAMES,Q,511338706
2303743,379,Mississippi,Colorado State University,JACKSON,DAVID,S,677593549
8877508,539,Colorado,University of Georgia,MOORE,MICHAEL,U,327649677
4187352,457,South Dakota,Kansas State University,THOMAS,BARBARA,H,354564673
2056559,156,Utah,Montana State University,RODRIGUEZ,MARY,E,142607387
1461149,838,Oregon,University of Vermont,GARCIA,PATRICIA,F,059978184
7465908,747,Maryland,Georgia Institute of Technology,GARCIA,SARAH,Y,393238689
6781030,309,New Jersey,University of South Carolina,GARCIA,JOSEPH,H,133926200
3161070,073,Georgia,Kansas State University,RODRIGUEZ,JOHN,M,041924156
5917351,776,Ohio,University of Iowa,JONES,WILLIAM,C,200333169
7476828,651,Minnesota,Indiana University,SMITH,CHARLES,H,804205835
7770487,488,Vermont,University of Idaho,BROWN,BARBARA,X,266616557
4999495,402,North Carolina,University of South Carolina,THOMAS,JOHN,L,532543922
5665103,171,Nevada,University of Connecticut,WILSON,LINDA,N,817044458
0616797,684,Nevada,University of North Carolina at Chapel Hill,WILLIAMS,KAREN,K,099180396
8191480,218,North Carolina,University of Alaska,DAVIS,LINDA,K,771156646
4639537,890,Alabama,University of Idaho,GARCIA,MICHAEL,P,045523646
0018497,339,Nevada,Texas A&M University,GONZALEZ,MICHAEL,B,476260445
4091915,786,Wyoming,Colorado State University,TAYLOR,JENNIFER,Z,911293002
6047033,049,Virginia,Duke University,MARTIN,JOSEPH,C,946026342
9954162,654,Nebraska,North Dakota State University,LOPEZ,SUSAN,Q,081827027
2601210,199,Texas,Colorado State University,LOPEZ,BARBARA,C,028850856
0576750,729,Nebraska,University of Missouri,MARTIN,PATRICIA,S,034044917
7821642,312,Michigan,University of Delaware,JONES,JAMES,L,981811432
3534429,014,South Dakota,Cornell University,MARTIN,MARY,I,015610143
5559161,508,Oregon,University of Oklahoma,MOORE,MARY,D,741837602
9357178,533,New Hampshire,University of Missouri,MARTIN,RICHARD,A,147393626
4199958,814,Arizona,University of Missouri,DAVIS,RICHARD,B,274294242
4631035,385,Idaho,University of Delaware,SMITH,ELIZABETH,Y,982855733
5836066,075,Iowa,Virginia Tech,JOHNSON,PATRICIA,D,275705207
