Det,AFPC Comments,LastName,FirstName,MI,SSN,DOB,DOC,AFSC,Branch
114,,PHILLIPS,CHARLES,G,240231989,6/7/1993,22/12/2015,1A0X1,USAF
815,,EVANS,KAREN,H,698177976,18/10/1984,5/4/2007,1C0X2,USAF
304,,DIAZ,CHRISTOPHER,I,778376368,30/01/1991,18/07/2013,13S1,USSF
927,,HOWARD,NANCY,J,477077390,11/5/1982,27/10/2004,3D0X2,USAF
412,,WEST,DANIEL,K,371238053,23/08/1993,8/2/2016,11F3,USAF
119,,JORDAN,LISA,L,887936649,4/12/1978,22/05/2001,62E1S,USSF
890,,OWENS,MATTHEW,M,964037649,16/03/1989,1/9/2011,17D1,USAF
512,,REYNOLDS,BETTY,N,188226576,28/06/1980,13/12/2002,14N1,USAF
203,,FISHER,ANTHONY,O,729348579,9/10/1991,27/03/2014,62E1S,USAF
712,,ELLIS,MARGARET,P,212305537,21/01/1986,8/7/2008,13S3,USSF
389,,HARRISON,MARK,Q,984812704,3/5/1993,19/10/2015,21A1,USAF
921,,GIBSON,SANDRA,R,736935882,15/08/1984,1/2/2007,32E1S,USAF
510,,MCDONALD,DONALD,S,157314917,27/11/1979,15/05/2002,13S1,USSF
114,,CRUZ,ASHLEY,T,087926578,9/3/1990,25/08/2012,11M3,USAF
815,,MARSHALL,PAUL,U,601897868,21/06/1981,7/12/2003,17S1,USAF
304,,ORTIZ,KIMBERLY,V,344533146,3/10/1992,21/03/2015,5C0X1,USSF
927,,MURRAY,STEVEN,W,514957430,15/01/1983,2/7/2005,14N1,USAF
412,,FREEMAN,DONNA,X,796968503,27/04/1994,13/10/2016,31P1,USAF
119,,WELLS,ANDREW,Y,118188414,9/8/1977,24/01/2000,63A1,USAF
890,,WEBB,EMILY,Z,227554373,21/11/1988,9/5/2011,17D1S,USSF
512,,SIMPSON,KENNETH,A,150501911,3/3/1982,19/08/2004,1A0X1,USAF
203,,STEVENS,MICHELLE,B,181286127,15/06/1993,1/12/2015,1C0X2,USAF
712,,TUCKER,JOSHUA,C,189323600,27/09/1984,15/03/2007,13S1,USSF
389,,PORTER,CAROL,D,932944697,9/1/1990,27/06/2012,3D0X2,USAF
921,,HUNTER,KEVIN,E,030152774,21/04/1981,7/10/2003,11F3,USAF
510,,HICKS,AMANDA,F,990903911,3/8/1992,20/01/2015,62E1S,USSF
114,,CRAWFORD,BRIAN,G,891154082,15/11/1983,2/5/2006,17D1,USAF
815,,BOYD,MELISSA,H,170655500,27/02/1985,15/08/2007,14N1,USAF
304,,MASON,GEORGE,I,946378398,9/6/1976,25/11/1998,62E1S,USAF
927,,BURNS,DEBORAH,J,472494193,21/09/1987,9/3/2010,13S3,USSF
412,,GARDNER,EDWARD,K,315237874,3/1/1982,20/06/2004,21A1,USAF
119,,PAYNE,STEPHANIE,L,457509905,15/04/1993,1/10/2015,32E1S,USAF
890,,PALMER,RONALD,M,657924846,27/07/1980,12/1/2003,13S1,USSF
512,,STONE,REBECCA,N,015411332,9/11/1989,27/04/2012,11M3,USAF
203,,NICHOLS,TIMOTHY,O,861342110,21/02/1984,9/8/2006,17S1,USAF
712,,WARREN,SHARON,P,202763935,3/6/1995,20/11/2017,5C0X1,USSF
389,,STEWART,JASON,Q,906073357,15/09/1976,3/3/1999,14N1,USAF
921,,MORRISON,LAURA,R,939353185,27/12/1987,14/06/2010,31P1,USAF
510,,SMITH,JEFFREY,S,553425067,9/4/1981,25/09/2003,63A1,USAF
114,,JOHNSON,CYNTHIA,T,577511099,21/07/1992,6/1/2015,17D1S,USSF
815,,WILLIAMS,RYAN,U,634926625,3/11/1983,21/04/2006,1A0X1,USAF
304,,BROWN,KATHLEEN,V,025060311,15/02/1995,3/8/2017,1C0X2,USAF
927,,JONES,JACOB,W,248252957,27/05/1976,12/11/1998,13S1,USSF
412,,GARCIA,AMY,X,346701997,9/9/1989,25/02/2012,3D0X2,USAF
119,,MILLER,GARY,Y,179117711,21/12/1980,8/6/2003,11F3,USAF
890,,DAVIS,SHIRLEY,Z,159819259,2/4/1992,18/09/2014,62E1S,USSF
512,,RODRIGUEZ,NICHOLAS,A,025812749,14/07/1983,30/12/2005,17D1,USAF
203,,MARTINEZ,ANGELA,B,111385616,26/10/1994,13/04/2017,14N1,USAF
712,,HERNANDEZ,ERIC,C,015648229,8/2/1979,25/07/2001,62E1S,USAF
389,,LOPEZ,HELEN,D,243190976,20/05/1990,5/11/2012,13S3,USSF
921,,GONZALEZ,JONATHAN,E,691282715,1/9/1981,18/02/2004,21A1,USAF
510,,WILSON,ANNA,F,958913859,13/12/1992,30/05/2015,32E1S,USAF
114,,ANDERSON,STEPHEN,G,556613677,25/03/1984,10/9/2006,13S1,USSF
815,,THOMAS,BRENDA,H,532910540,6/7/1995,22/12/2017,11M3,USAF
304,,TAYLOR,LARRY,I,950764498,18/10/1976,5/4/1999,17S1,USAF
927,,MOORE,PAMELA,J,391284361,30/01/1989,18/07/2011,5C0X1,USSF
412,,JACKSON,JUSTIN,K,479179316,11/5/1980,27/10/2002,14N1,USAF
119,,MARTIN,NICOLE,L,476801338,23/08/1991,8/2/2014,31P1,USAF
890,,LEE,BENJAMIN,M,130999755,4/12/1982,22/05/2005,63A1,USAF
512,,PEREZ,SAMANTHA,N,916584671,16/03/1994,1/9/2016,17D1S,USSF
203,,THOMPSON,SAMUEL,O,343620957,28/06/1985,14/12/2007,1A0X1,USAF
712,,WHITE,KATHERINE,P,842758068,9/10/1990,27/03/2013,1C0X2,USAF
389,,HARRIS,GREGORY,Q,310994534,21/01/1977,9/7/1999,13S1,USSF
921,,SANCHEZ,EMMA,R,042013082,3/5/1988,19/10/2010,3D0X2,USAF
510,,CLARK,ALEXANDER,S,789229123,15/08/1982,1/2/2005,11F3,USAF
114,,RAMIREZ,RUTH,T,756234135,27/11/1993,15/05/2016,62E1S,USSF
815,,LEWIS,FRANK,U,755592079,9/3/1984,25/08/2006,17D1,USAF
304,,ROBINSON,CHRISTINE,V,967643258,21/06/1989,7/12/2011,14N1,USAF
927,,WALKER,PATRICK,W,865958841,3/10/1976,21/03/1999,62E1S,USAF
412,,YOUNG,DEBRA,X,225385656,15/01/1991,2/7/2013,13S3,USSF
119,,ALLEN,RAYMOND,Y,200288760,27/04/1982,13/10/2004,21A1,USAF
890,,KING,RACHEL,Z,162259944,9/8/1993,25/01/2016,32E1S,USAF
512,,WRIGHT,JACK,A,979938827,21/11/1984,9/5/2007,13S1,USSF
203,,SCOTT,CAROLYN,B,425016715,3/3/1995,19/08/2017,11M3,USAF
712,,TORRES,DENNIS,C,626957617,15/06/1979,1/12/2001,17S1,USAF
389,,NGUYEN,JANET,D,435238877,27/09/1990,15/03/2013,5C0X1,USSF
921,,HILL,JERRY,E,159842985,9/1/1981,27/06/2003,14N1,USAF
510,,FLORES,MARIA,F,272156098,21/04/1992,7/10/2014,31P1,USAF
114,,GREEN,TYLER,G,748847550,3/8/1983,20/01/2006,63A1,USAF
815,,ADAMS,HEATHER,H,857940845,15/11/1994,2/5/2017,17D1S,USSF
304,,NELSON,AARON,I,622579768,27/02/1985,15/08/2007,1A0X1,USAF
927,,BAKER,HELENA,J,295759183,9/6/1991,26/11/2013,1C0X2,USAF
412,,HALL,JAMES,K,253198875,21/09/1976,10/3/1999,13S1,USSF
119,,RIVERA,MARY,L,984787762,3/1/1988,20/06/2010,3D0X2,USAF
890,,CAMPBELL,ROBERT,M,587134454,15/04/1982,1/10/2004,11F3,USAF
512,,MITCHELL,PATRICIA,N,262757243,27/07/1993,12/1/2016,62E1S,USSF
203,,CARTER,JOHN,O,392326729,8/11/1980,26/04/2002,17D1,USAF
712,,ROBERTS,JENNIFER,P,136003211,20/02/1995,8/8/2017,14N1,USAF
389,,GOMEZ,MICHAEL,Q,980854198,4/6/1977,20/11/1999,62E1S,USAF
921,,PHILLIPS,LINDA,R,543006671,16/09/1988,4/3/2011,13S3,USSF
510,,EVANS,DAVID,S,067782915,28/12/1981,15/06/2004,21A1,USAF
114,,DIAZ,ELIZABETH,T,193650057,11/4/1993,27/09/2015,32E1S,USAF
815,,HOWARD,WILLIAM,U,559211173,23/07/1979,8/1/2002,13S1,USSF
304,,WEST,BARBARA,V,604306211,4/11/1990,21/04/2013,11M3,USAF
927,,JORDAN,RICHARD,W,816044487,16/02/1985,4/8/2007,17S1,USAF
412,,OWENS,SUSAN,X,224082123,28/05/1991,13/11/2013,5C0X1,USSF
119,,REYNOLDS,JOSEPH,Y,988059764,9/9/1976,25/02/1999,14N1,USAF
890,,FISHER,JESSICA,Z,796211213,21/12/1987,8/6/2010,31P1,USAF
512,,ELLIS,THOMAS,A,041999663,3/4/1982,19/09/2004,63A1,USAF
203,,HARRISON,SARAH,B,62033364,15/07/1993,31/12/2015,17D1S,USSF
712,,GIBSON,CHARLES,C,209453708,27/10/1978,14/04/2001,1A0X1,USAF
389,,MCDONALD,KAREN,D,206142651,8/2/1989,26/07/2011,1C0X2,USAF
921,,CRUZ,CHRISTOPHER,E,148237535,20/05/1983,5/11/2005,13S1,USSF
510,,MARSHALL,NANCY,F,592528466,1/9/1994,17/02/2017,3D0X2,USAF
114,,ORTIZ,DANIEL,G,965796288,13/12/1975,30/05/1998,11F3,USAF
815,,MURRAY,LISA,H,269835956,25/03/1987,10/9/2009,62E1S,USSF
304,,FREEMAN,MATTHEW,I,390963630,6/7/1981,22/12/2003,17D1,USAF
927,,WELLS,BETTY,J,422856639,18/10/1992,5/4/2015,14N1,USAF
412,,WEBB,ANTHONY,K,734595646,30/01/1986,18/07/2008,62E1S,USAF
119,,SIMPSON,MARGARET,L,562419283,11/5/1991,27/10/2013,13S3,USSF
890,,STEVENS,MARK,M,573138111,23/08/1977,8/2/2000,21A1,USAF
512,,TUCKER,SANDRA,N,021652018,4/12/1988,22/05/2011,32E1S,USAF
203,,PORTER,DONALD,O,798567091,16/03/1983,1/9/2005,13S1,USSF
712,,HUNTER,ASHLEY,P,526163187,28/06/1994,13/12/2016,11M3,USAF
389,,HICKS,PAUL,Q,944704639,9/10/1975,27/03/1998,17S1,USAF
921,,CRAWFORD,KIMBERLY,R,211903092,21/01/1989,9/7/2011,5C0X1,USSF
510,,BOYD,STEVEN,S,280155321,3/5/1980,19/10/2002,14N1,USAF
114,,MASON,DONNA,T,449879237,15/08/1991,1/2/2014,31P1,USAF
815,,BURNS,ANDREW,U,088897721,27/11/1985,15/05/2008,63A1,USAF
304,,GARDNER,EMILY,V,173376404,9/3/1979,25/08/2001,17D1S,USSF
927,,PAYNE,KENNETH,W,713820975,21/06/1990,7/12/2012,1A0X1,USAF
412,,PALMER,MICHELLE,X,331561918,3/10/1981,20/03/2004,1C0X2,USAF
119,,STONE,JOSHUA,Y,542490194,15/01/1992,2/7/2014,13S1,USSF
890,,NICHOLS,CAROL,Z,400081898,27/04/1983,13/10/2005,3D0X2,USAF
512,,WARREN,KEVIN,A,323824317,9/8/1994,25/01/2017,11F3,USAF
203,,STEWART,AMANDA,B,430528315,21/11/1978,9/5/2001,62E1S,USSF
712,,MORRISON,BRIAN,C,267098610,3/3/1989,19/08/2011,17D1,USAF
389,,SMITH,MELISSA,D,491318647,15/06/1980,1/12/2002,14N1,USAF
921,,JOHNSON,GEORGE,E,680274188,27/09/1991,15/03/2014,62E1S,USAF
510,,WILLIAMS,DEBORAH,F,489460899,9/1/1986,27/06/2008,13S3,USSF
114,,BROWN,EDWARD,G,952544967,21/04/1977,7/10/1999,21A1,USAF
815,,JONES,STEPHANIE,H,457529774,3/8/1988,20/01/2011,32E1S,USAF
304,,GARCIA,RONALD,I,132881594,15/11/1982,2/5/2005,13S1,USSF
927,,MILLER,REBECCA,J,989696641,27/02/1993,15/08/2015,11M3,USAF
412,,DAVIS,TIMOTHY,K,599402408,9/6/1984,25/11/2006,17S1,USAF
119,,RODRIGUEZ,SHARON,L,994376487,21/09/1975,9/3/1998,5C0X1,USSF
890,,MARTINEZ,JASON,M,868588056,3/1/1986,20/06/2008,14N1,USAF
512,,HERNANDEZ,LAURA,N,699187647,15/04/1991,1/10/2013,31P1,USAF
203,,LOPEZ,JEFFREY,O,723030143,27/07/1982,12/1/2005,63A1,USAF
712,,GONZALEZ,CYNTHIA,P,318217794,8/11/1993,25/04/2016,17D1S,USSF
389,,WILSON,RYAN,Q,151194391,20/02/1980,7/8/2002,1A0X1,USAF
921,,ANDERSON,KATHLEEN,R,527217585,4/6/1991,20/11/2013,1C0X2,USAF
510,,THOMAS,JACOB,S,648527317,16/09/1976,3/3/1999,13S1,USSF
114,,TAYLOR,AMY,T,796549270,28/12/1987,15/06/2010,3D0X2,USAF
815,,MOORE,GARY,U,138312269,11/4/1982,27/09/2004,11F3,USAF
304,,JACKSON,SHIRLEY,V,470257698,23/07/1993,8/1/2016,62E1S,USSF
927,,MARTIN,NICHOLAS,W,080443542,4/11/1984,21/04/2007,17D1,USAF
412,,LEE,ANGELA,X,028056388,16/02/1995,4/8/2017,14N1,USAF
119,,PEREZ,ERIC,Y,691309907,28/05/1979,13/11/2001,62E1S,USAF
890,,THOMPSON,HELEN,Z,355549725,9/9/1990,25/02/2013,13S3,USSF
512,,WHITE,JONATHAN,A,139663461,21/12/1981,8/6/2004,21A1,USAF
203,,HARRIS,ANNA,B,740182974,3/4/1992,19/09/2014,32E1S,USAF
712,,SANCHEZ,STEPHEN,C,964294578,15/07/1983,1/1/2006,13S1,USSF
389,,CLARK,BRENDA,D,276401312,27/10/1994,14/04/2017,11M3,USAF
921,,RAMIREZ,LARRY,E,985592767,8/2/1985,26/07/2007,17S1,USAF
510,,LEWIS,PAMELA,F,811458394,20/05/1991,5/11/2013,5C0X1,USSF
114,,ROBINSON,JUSTIN,G,097243871,1/9/1976,18/02/1999,14N1,USAF
815,,WALKER,NICOLE,H,946902137,13/12/1987,30/05/2010,31P1,USAF
304,,YOUNG,BENJAMIN,I,645306923,25/03/1982,10/9/2004,63A1,USAF
927,,ALLEN,SAMANTHA,J,458906836,6/7/1993,22/12/2015,17D1S,USSF
412,,KING,SAMUEL,K,507116461,18/10/1984,5/4/2007,1A0X1,USAF
119,,WRIGHT,KATHERINE,L,357073646,30/01/1995,18/07/2017,1C0X2,USAF
890,,SCOTT,GREGORY,M,412241501,11/5/1979,27/10/2001,13S1,USSF
512,,TORRES,EMMA,N,037368754,23/08/1990,8/2/2013,3D0X2,USAF
203,,NGUYEN,ALEXANDER,O,045839868,4/12/1981,22/05/2004,11F3,USAF
712,,HILL,RUTH,P,860742497,16/03/1992,1/9/2014,62E1S,USSF
389,,FLORES,FRANK,Q,031408460,28/06/1983,14/12/2005,17D1,USAF
921,,GREEN,CHRISTINE,R,627825096,9/10/1994,27/03/2017,14N1,USAF
510,,ADAMS,PATRICK,S,504430631,21/01/1977,9/7/1999,62E1S,USAF
114,,NELSON,DEBRA,T,657518425,3/5/1988,19/10/2010,13S3,USSF
815,,BAKER,RAYMOND,U,904467651,15/08/1982,1/2/2005,21A1,USAF
304,,HALL,RACHEL,V,790183790,27/11/1993,15/05/2016,32E1S,USAF
927,,RIVERA,JACK,W,88696913,9/3/1980,25/08/2002,13S1,USSF
412,,CAMPBELL,CAROLYN,X,079838877,21/06/1991,7/12/2013,11M3,USAF
119,,MITCHELL,DENNIS,Y,550589464,3/10/1985,21/03/2008,17S1,USAF
890,,CARTER,JANET,Z,474389602,15/01/1992,2/7/2014,5C0X1,USSF
512,,ROBERTS,JERRY,A,880339599,27/04/1979,13/10/2001,14N1,USAF
203,,GOMEZ,MARIA,B,417182080,9/8/1994,25/01/2017,31P1,USAF
712,,PHILLIPS,TYLER,C,524701213,21/11/1981,9/5/2003,63A1,USAF
389,,EVANS,HEATHER,D,861720440,3/3/1992,19/08/2014,17D1S,USSF
921,,DIAZ,AARON,E,750769164,15/06/1983,1/12/2005,1A0X1,USAF
510,,HOWARD,HELENA,F,657112933,27/09/1994,15/03/2017,1C0X2,USAF
114,,WEST,JAMES,G,435076658,9/1/1976,27/06/1998,13S1,USSF
815,,JORDAN,MARY,H,928326335,21/04/1987,7/10/2009,3D0X2,USAF
304,,OWENS,ROBERT,I,772099183,3/8/1982,20/01/2004,11F3,USAF
927,,REYNOLDS,PATRICIA,J,762461569,15/11/1993,2/5/2015,62E1S,USSF
412,,FISHER,JOHN,K,097447260,27/02/1980,15/08/2002,17D1,USAF
119,,ELLIS,JENNIFER,L,843384820,9/6/1991,25/11/2013,14N1,USAF
890,,HARRISON,MICHAEL,M,854959991,21/09/1984,9/3/2007,62E1S,USAF
512,,GIBSON,LINDA,N,787776354,3/1/1995,20/06/2017,13S3,USSF
203,,MCDONALD,DAVID,O,980881356,15/04/1978,1/10/2000,21A1,USAF
712,,CRUZ,ELIZABETH,P,575990005,27/07/1989,12/1/2012,32E1S,USAF
389,,MARSHALL,WILLIAM,Q,286072841,8/11/1980,26/04/2002,13S1,USSF
921,,ORTIZ,BARBARA,R,054442607,20/02/1995,8/8/2017,11M3,USAF
510,,MURRAY,RICHARD,S,439838511,4/6/1977,20/11/1999,17S1,USAF
114,,FREEMAN,SUSAN,T,654524974,16/09/1988,4/3/2011,5C0X1,USSF
815,,WELLS,JOSEPH,U,810707072,28/12/1981,15/06/2004,14N1,USAF
304,,WEBB,JESSICA,V,835380633,11/4/1993,27/09/2015,31P1,USAF
927,,SIMPSON,THOMAS,W,944882340,23/07/1979,8/1/2002,63A1,USAF
412,,STEVENS,SARAH,X,421915846,4/11/1990,21/04/2013,17D1S,USSF
119,,TUCKER,CHARLES,Y,228507721,16/02/1985,4/8/2007,1A0X1,USAF
890,,PORTER,KAREN,Z,392392983,28/05/1991,13/11/2013,1C0X2,USAF
512,,HUNTER,CHRISTOPHER,A,307606601,9/9/1976,25/02/1999,13S1,USSF
203,,HICKS,NANCY,B,619613921,21/12/1987,8/6/2010,3D0X2,USAF
712,,CRAWFORD,DANIEL,C,259378555,3/4/1982,19/09/2004,11F3,USAF
389,,BOYD,LISA,D,273519871,15/07/1993,31/12/2015,62E1S,USSF
921,,MASON,MATTHEW,E,079000722,27/10/1978,14/04/2001,17D1,USAF
510,,BURNS,BETTY,F,496221382,8/2/1989,26/07/2011,14N1,USAF
114,,GARDNER,ANTHONY,G,627943124,20/05/1983,5/11/2005,62E1S,USAF
815,,PAYNE,MARGARET,H,653646233,1/9/1994,17/02/2017,13S3,USSF
304,,PALMER,MARK,I,219438121,13/12/1975,30/05/1998,21A1,USAF
927,,STONE,SANDRA,J,181756610,25/03/1987,10/9/2009,32E1S,USAF
412,,NICHOLS,DONALD,K,876393673,6/7/1981,22/12/2003,13S1,USSF
119,,WARREN,ASHLEY,L,175769588,18/10/1992,5/4/2015,11M3,USAF
890,,STEWART,PAUL,M,586417712,30/01/1986,18/07/2008,17S1,USAF
512,,MORRISON,KIMBERLY,N,719419921,11/5/1991,27/10/2013,5C0X1,USSF
203,,SMITH,STEVEN,O,028331309,23/08/1977,8/2/2000,14N1,USAF
712,,JOHNSON,DONNA,P,436439453,4/12/1988,22/05/2011,31P1,USAF
389,,WILLIAMS,ANDREW,Q,089728281,16/03/1983,1/9/2005,63A1,USAF
921,,BROWN,EMILY,R,614832363,28/06/1994,13/12/2016,17D1S,USSF
510,,JONES,KENNETH,S,584958213,9/10/1975,27/03/1998,1A0X1,USAF
114,,GARCIA,MICHELLE,T,683589159,21/01/1989,9/7/2011,1C0X2,USAF
815,,MILLER,JOSHUA,U,961128834,3/5/1980,19/10/2002,13S1,USSF
304,,DAVIS,CAROL,V,049224071,15/08/1991,1/2/2014,3D0X2,USAF
927,,RODRIGUEZ,KEVIN,W,237629387,27/11/1985,15/05/2008,11F3,USAF
412,,MARTINEZ,AMANDA,X,451746844,9/3/1979,25/08/2001,62E1S,USSF
119,,HERNANDEZ,BRIAN,Y,667495442,21/06/1990,7/12/2012,17D1,USAF
890,,LOPEZ,MELISSA,Z,696716783,3/10/1981,20/03/2004,14N1,USAF
512,,GONZALEZ,GEORGE,A,900642097,15/01/1992,2/7/2014,62E1S,USAF
203,,WILSON,DEBORAH,B,614780275,27/04/1983,13/10/2005,13S3,USSF
712,,ANDERSON,EDWARD,C,802548709,9/8/1994,25/01/2017,21A1,USAF
389,,THOMAS,STEPHANIE,D,531705092,21/11/1978,9/5/2001,32E1S,USAF
921,,TAYLOR,RONALD,E,156273856,3/3/1989,19/08/2011,13S1,USSF
510,,MOORE,REBECCA,F,254570213,15/06/1980,1/12/2002,11M3,USAF
114,,JACKSON,TIMOTHY,G,253602006,27/09/1991,15/03/2014,17S1,USAF
815,,MARTIN,SHARON,H,279174001,9/1/1986,27/06/2008,5C0X1,USSF
304,,LEE,JASON,I,719300804,21/04/1977,7/10/1999,14N1,USAF
927,,PEREZ,LAURA,J,848755141,3/8/1988,20/01/2011,31P1,USAF
412,,THOMPSON,JEFFREY,K,597897782,15/11/1982,2/5/2005,63A1,USAF
119,,WHITE,CYNTHIA,L,731344231,27/02/1993,15/08/2015,17D1S,USSF
890,,HARRIS,RYAN,M,165466642,9/6/1984,25/11/2006,1A0X1,USAF
512,,SANCHEZ,KATHLEEN,N,137082124,21/09/1975,9/3/1998,1C0X2,USAF
203,,CLARK,JACOB,O,117236382,3/1/1986,20/06/2008,13S1,USSF
712,,RAMIREZ,AMY,P,003682684,15/04/1991,1/10/2013,3D0X2,USAF
389,,LEWIS,GARY,Q,377370753,27/07/1982,12/1/2005,11F3,USAF
921,,ROBINSON,SHIRLEY,R,6015424,8/11/1993,25/04/2016,62E1S,USSF
510,,WALKER,NICHOLAS,S,896588999,20/02/1980,7/8/2002,17D1,USAF
114,,YOUNG,ANGELA,T,071162016,4/6/1991,20/11/2013,14N1,USAF
815,,ALLEN,ERIC,U,520121488,16/09/1976,3/3/1999,62E1S,USAF
304,,KING,HELEN,V,829731897,28/12/1987,15/06/2010,13S3,USSF
927,,WRIGHT,JONATHAN,W,034331687,11/4/1982,27/09/2004,21A1,USAF
412,,SCOTT,ANNA,X,350626060,23/07/1993,8/1/2016,32E1S,USAF
119,,TORRES,STEPHEN,Y,498266006,4/11/1984,21/04/2007,13S1,USSF
890,,NGUYEN,BRENDA,Z,449727948,16/02/1995,4/8/2017,11M3,USAF
512,,HILL,LARRY,A,823019955,28/05/1979,13/11/2001,17S1,USAF
203,,FLORES,PAMELA,B,244247316,9/9/1990,25/02/2013,5C0X1,USSF
712,,GREEN,JUSTIN,C,574534873,21/12/1981,8/6/2004,14N1,USAF
389,,ADAMS,NICOLE,D,312075751,3/4/1992,19/09/2014,31P1,USAF
921,,NELSON,BENJAMIN,E,361933232,15/07/1983,1/1/2006,63A1,USAF
510,,BAKER,SAMANTHA,F,694834857,27/10/1994,14/04/2017,17D1S,USSF
114,,HALL,SAMUEL,G,376144429,8/2/1985,26/07/2007,1A0X1,USAF
815,,RIVERA,KATHERINE,H,890751738,20/05/1991,5/11/2013,1C0X2,USAF
304,,CAMPBELL,GREGORY,I,820698479,1/9/1976,18/02/1999,13S1,USSF
927,,MITCHELL,EMMA,J,509210057,13/12/1987,30/05/2010,3D0X2,USAF
412,,CARTER,ALEXANDER,K,107316082,25/03/1982,10/9/2004,11F3,USAF
119,,ROBERTS,RUTH,L,590676721,6/7/1993,22/12/2015,62E1S,USSF
890,,GOMEZ,FRANK,M,520205948,18/10/1984,5/4/2007,17D1,USAF
512,,PHILLIPS,CHRISTINE,N,410980983,30/01/1995,18/07/2017,14N1,USAF
203,,EVANS,PATRICK,O,716608713,11/5/1979,27/10/2001,62E1S,USAF
712,,DIAZ,DEBRA,P,362040423,23/08/1990,8/2/2013,13S3,USSF
389,,HOWARD,RAYMOND,Q,918505901,4/12/1981,22/05/2004,21A1,USAF
921,,WEST,RACHEL,R,988736917,16/03/1992,1/9/2014,32E1S,USAF
510,,JORDAN,JACK,S,186581155,28/06/1983,14/12/2005,13S1,USSF
114,,OWENS,CAROLYN,T,812611452,9/10/1994,27/03/2017,11M3,USAF
815,,REYNOLDS,DENNIS,U,496772172,21/01/1977,9/7/1999,17S1,USAF
304,,FISHER,JANET,V,482227234,3/5/1988,19/10/2010,5C0X1,USSF
927,,ELLIS,JERRY,W,443115365,15/08/1982,1/2/2005,14N1,USAF
412,,HARRISON,MARIA,X,091834712,27/11/1993,15/05/2016,31P1,USAF
119,,GIBSON,TYLER,Y,427317394,9/3/1980,25/08/2002,63A1,USAF
890,,MCDONALD,HEATHER,Z,882852761,21/06/1991,7/12/2013,17D1S,USSF
512,,CRUZ,AARON,A,184679284,3/10/1985,21/03/2008,1A0X1,USAF
203,,MARSHALL,HELENA,B,761150538,15/01/1992,2/7/2014,1C0X2,USAF
712,,ORTIZ,JAMES,C,235510648,27/04/1979,13/10/2001,13S1,USSF
389,,MURRAY,MARY,D,976264604,9/8/1994,25/01/2017,3D0X2,USAF
921,,FREEMAN,ROBERT,E,746454303,21/11/1981,9/5/2003,11F3,USAF
510,,WELLS,PATRICIA,F,459115490,3/3/1992,19/08/2014,62E1S,USSF
114,,WEBB,JOHN,G,946094777,15/06/1983,1/12/2005,17D1,USAF
815,,SIMPSON,JENNIFER,H,918554424,27/09/1994,15/03/2017,14N1,USAF
304,,STEVENS,MICHAEL,I,249125620,9/1/1976,27/06/1998,62E1S,USAF
927,,TUCKER,LINDA,J,182440173,21/04/1987,7/10/2009,13S3,USSF
412,,PORTER,DAVID,K,641870104,3/8/1982,20/01/2004,21A1,USAF
119,,HUNTER,ELIZABETH,L,994272154,15/11/1993,2/5/2015,32E1S,USAF
890,,HICKS,WILLIAM,M,961502940,27/02/1980,15/08/2002,13S1,USSF
512,,CRAWFORD,BARBARA,N,615579806,9/6/1991,25/11/2013,11M3,USAF
203,,BOYD,RICHARD,O,864820330,21/09/1984,9/3/2007,17S1,USAF
712,,MASON,SUSAN,P,95898015,3/1/1995,20/06/2017,5C0X1,USSF
389,,BURNS,JOSEPH,Q,272940988,15/04/1978,1/10/2000,14N1,USAF
921,,GARDNER,JESSICA,R,577538403,27/07/1989,12/1/2012,31P1,USAF
510,,PAYNE,THOMAS,S,642681744,8/11/1980,26/04/2002,63A1,USAF
114,,PALMER,SARAH,T,655025401,20/02/1995,8/8/2017,17D1S,USSF
815,,STONE,CHARLES,U,148853553,4/6/1977,20/11/1999,1A0X1,USAF
304,,NICHOLS,KAREN,V,592735828,16/09/1988,4/3/2011,1C0X2,USAF
927,,WARREN,CHRISTOPHER,W,181051409,28/12/1981,15/06/2004,13S1,USSF
412,,STEWART,NANCY,X,392271157,11/4/1993,27/09/2015,3D0X2,USAF
119,,MORRISON,DANIEL,Y,380779468,23/07/1979,8/1/2002,11F3,USAF
890,,SMITH,LISA,Z,37285951,4/11/1990,21/04/2013,62E1S,USSF
512,,JOHNSON,MATTHEW,A,716377060,16/02/1985,4/8/2007,17D1,USAF
203,,WILLIAMS,BETTY,B,525735008,28/05/1991,13/11/2013,14N1,USAF
712,,BROWN,ANTHONY,C,699663989,9/9/1976,25/02/1999,62E1S,USAF
389,,JONES,MARGARET,D,529433292,21/12/1987,8/6/2010,13S3,USSF
921,,GARCIA,MARK,E,982954165,3/4/1982,19/09/2004,21A1,USAF
510,,MILLER,SANDRA,F,639410786,15/07/1993,31/12/2015,32E1S,USAF
114,,DAVIS,DONALD,G,928848130,27/10/1978,14/04/2001,13S1,USSF
815,,RODRIGUEZ,ASHLEY,H,879423544,1/9/1994,17/02/2017,11M3,USAF
304,,MARTINEZ,PAUL,I,978540191,13/12/1975,30/05/1998,17S1,USAF
927,,HERNANDEZ,KIMBERLY,J,41677504,25/03/1987,10/9/2009,5C0X1,USSF
412,,LOPEZ,STEVEN,K,109404958,6/7/1981,22/12/2003,14N1,USAF
119,,GONZALEZ,DONNA,L,806358061,18/10/1992,5/4/2015,31P1,USAF
890,,WILSON,ANDREW,M,281773554,30/01/1986,18/07/2008,63A1,USAF
